table,generating_script,labels,evaluation_unit,engine_equal_weighted,aggregation,noise_range_reference,protocol_status
Protocol 2x2 (Table I),"build_table1.py (re-inference over all four cells' existing checkpoints under this release's protocol); underlying checkpoints from train_lstm.py (V/F) and protocol_2x2_quadrant4.py (T/F); the T/W' and V/W' cells' checkpoints come from protocol_2x2_controlled_retrain.py (R9: retrained with the same 60% canonical fit_units as V/F/T/F, isolating selection-criterion and scaler-scope as the only remaining variables), shipped under results/checkpoints/lstm_2x2_controlled/; the original, uncontrolled T/W/V/W checkpoints and their training scripts are kept for provenance under results/superseded/ + code/superseded/ and are no longer read by this table","min(official_RUL-1,125)",terminal,yes,mean of 5 seeds; ECE on pooled seeds,--,fully updated (R9: T/W'/V/W' controlled retrain)
Clean benchmark (Table II),"eval_nll_clean_b1.py, eval_splitcp_b1.py, eval_mcdropout_b1.py, eval_fd003_mechanism_b1.py (re-evaluate existing checkpoints under this release's test-truth convention, no retraining); fair_calibration_main_table.py (fixed variance, MC Dropout); cost_table_lstm.py, cost_table_transformer.py, table2_clean_merge.py (others); eval_*_per_engine_coverage.py (per-engine column); eval_*_deep_ensemble.py (ensemble rows)","min(official_RUL-1,125)",terminal (per-engine: trajectory),yes,mean of 5 seeds; ECE per seed,--,fully updated
Same-partition ensemble (Table III),eval_samesplit_ensemble_b1.py,"min(official_RUL-1,125)",terminal,yes,"one partition (seed 42), five initialisations",--,fully updated
"Attribution, LSTM (Table IV)",attribution_interp_lstm.py; clamp fraction from clamp_frac.py,"min(official_RUL-1,125)",terminal,yes,seed-pooled predictions; interpolated crossover,sensor channels only on FD002/FD004 (15 of 18 feature columns; the 3 operating-condition settings are left unperturbed); official training file for FD001/FD003,"fully updated (R9: gain injection sensor-mask fix + unified feat_oob denominator, see REPRODUCE.md)"
Structured degradation (Table V),"run_sweep_degradation_transformer.py with sweep_engine.py (both backbones), half_life_degradation.py","min(official_RUL-1,125)",terminal,yes,"5 models x 5 realisations, grand mean","sensor channels only on FD002/FD004 (15 of 18 feature columns); official training file for FD001/FD003. R9: the gain arm's sensor-only restriction is now actually enforced -- previously inject_gain_fixed_pct_raw's (1+/-k) multiplier did not depend on the zeroed full_scale_range used by the other arms, so gain kept perturbing the 3 setting columns even after the R8 sensor-only fix; it now takes an explicit sensor_mask.","fully updated (R9: gain injection sensor-mask fix + unified feat_oob denominator, see REPRODUCE.md)"
Drift controls (Table VI),drift_controls.py; drift_bias_equal_magnitude_control.py; drift_fixed_endpoint_shuffle_control.py,"min(official_RUL-1,125)",terminal,yes,5 models; deterministic except shuffled/bias sign draws,sensor channels only on FD002/FD004 (15 of 18 feature columns); official training file for FD001/FD003,"fully updated (R9: gain injection sensor-mask fix + unified feat_oob denominator, see REPRODUCE.md)"
Decision stress test (Table VII),maintenance_decision_one_sided.py; unclipped RUL from maintenance_stress_test_rul_correction_v2.py,"min(official_RUL-1,125) for triggers; unclipped RUL reported as official_RUL-1",terminal,yes,5 models x 5 realisations,sensor channels only on FD002/FD004 (15 of 18 feature columns); official training file for FD001/FD003,"fully updated (R9: gain injection sensor-mask fix + unified feat_oob denominator, see REPRODUCE.md)"
Pre-flight diagnostics (not in main tables),diagnostic_perturbation_target_a1.py; diagnostic_target_alignment_a2.py (see results/diagnostics/),"both official_RUL and min(official_RUL-1,125) compared side by side (A2); sensors-only/settings-only/joint compared side by side (A1)",terminal,yes,5 seeds,A1 compares sensor-only vs settings-only vs joint on FD002/FD004; A2 does not perturb features,"A1: double-run MD5 verified again this round (bit-identical) after being refactored to call the shared noise_injection.feat_oob() (R9-Part3), still cited in the main text and in REPRODUCE.md's manifest. A2: fixed this round -- y_official had been silently identical to y_alt (both were already RUL-1) because it was built from extract_raw_windows()'s return value instead of the raw official RUL label; now asserts the two differ. Still single run, not double-run-verified."
Fair calibration (Appendix B),fair_calibration_sigma_fixed.py,"min(official_RUL-1,125)",terminal,yes,mean of 5 seeds,--,fully updated
"Attribution, Transformer (Appendix C)",attribution_interp_transformer.py,"min(official_RUL-1,125)",terminal,yes,seed-pooled predictions; interpolated crossover,sensor channels only on FD002/FD004 (15 of 18 feature columns); official training file for FD001/FD003,"fully updated (R9: gain injection sensor-mask fix + unified feat_oob denominator, see REPRODUCE.md)"
Seeds and ensemble size (Appendix D),eval_lstm_ensemble_n5_vs_n15.py; ensemble_size_and_independent_replication.py,"min(official_RUL-1,125)",terminal,yes,15 seeds; three disjoint ensembles,--,"fully updated: eval_lstm_ensemble_n5_vs_n15.py's 10 extra-seed metrics are now recomputed by inference from the existing checkpoints under min(official_RUL-1,125) (no retraining), matching ensemble_size_and_independent_replication.py. eval_lstm_fd003_ensemble_n5_vs_n15.py (FD003's counterpart, not referenced by this table) was out of scope this round and remains on the predecessor protocol -- do not mix its numbers with the FD001/FD002/FD004 rows above."
Latency (Appendix E),latency_lstm.py; latency_transformer.py,--,--,--,median and IQR over 11 repetitions,--,unaffected by this round (latency does not depend on test-truth convention or feature perturbation scope); not rerun
